UNK	GMP1	GMP2	GMP3	MKP	pDC	Bcell	CD4Tcell	CD8Tcell	NKcell	CLP	Ery	LMPP	CMP	GMP	HSC	MEP	Mono	MPP
ENSG00000243485	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	0	0	0	0	6	2	36	38	17	18	5	6	14	22	19	22	11	29	14
ENSG00000239945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237683	23	11	20	10	176	68	297	91	56	51	14	8	38	48	85	63	54	309	148
ENSG00000239906	2	2	0	0	4	7	10	28	11	16	11	5	16	4	12	16	6	31	10
ENSG00000241599	0	0	0	0	4	0	3	4	2	0	0	2	0	0	2	5	1	1	5
ENSG00000228463	14	3	0	4	15	8	68	103	80	49	29	37	27	59	84	73	56	32	88
ENSG00000237094	54	31	27	33	103	40	291	233	90	103	76	33	87	88	141	138	110	339	158
ENSG00000235249	6	6	1	14	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000236601	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0
ENSG00000236743	0	0	0	1	0	0	13	10	2	5	1	0	7	4	8	4	2	6	4
ENSG00000231709	7	0	2	9	0	0	2	3	1	3	0	1	1	2	10	2	2	3	2
ENSG00000235146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239664	2	4	1	3	1	0	0	1	0	0	0	0	1	0	2	2	1	1	3
ENSG00000230021	1	1	0	13	0	5	10	4	2	4	11	1	4	10	6	6	4	11	5
ENSG00000223659	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	1	0	0
ENSG00000185097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000235373	12	6	4	5	21	2	71	76	65	65	64	67	32	44	30	44	33	35	35
ENSG00000240618	0	0	0	0	5	0	15	18	15	9	23	11	15	5	9	18	3	16	13
ENSG00000229905	1	0	0	0	0	0	1	8	3	8	2	3	5	2	1	2	0	0	0
ENSG00000228327	39	11	12	4	85	40	139	90	86	48	64	45	67	86	131	70	100	69	130
ENSG00000237491	41	33	7	19	77	202	361	500	445	640	216	163	163	279	493	273	253	371	324
ENSG00000269831	0	0	0	0	0	5	6	11	7	21	58	6	4	9	7	7	2	5	4
ENSG00000177757	28	13	10	14	6	17	498	426	379	480	213	182	190	480	434	453	359	608	365
ENSG00000225880	27	5	1	7	18	26	58	125	100	134	23	54	16	37	43	31	44	168	87
ENSG00000230368	0	2	4	3	2	23	42	4	0	2	0	3	28	17	41	38	8	0	20
ENSG00000269308	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0
ENSG00000272438	14	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0
ENSG00000230699	133	10	2	0	1	13	3	0	1	19	2	1	33	4	12	3	2	6	3
ENSG00000241180	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
ENSG00000223764	63	0	0	0	0	0	0	0	0	0	0	0	30	3	3	0	1	0	0
ENSG00000187634	18	10	13	0	0	0	0	2	0	0	0	0	1	4	1	0	0	0	15
ENSG00000268179	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188976	418	178	116	67	529	331	169	307	325	150	38	12	381	578	819	314	867	426	715
ENSG00000187961	5	6	1	17	12	7	23	12	7	10	0	0	7	0	4	0	5	16	0
ENSG00000187583	0	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	6	0
ENSG00000187642	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	1	0
ENSG00000272512	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188290	0	0	0	0	0	392	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224969	0	0	0	0	0	0	2	6	8	0	0	0	0	1	0	1	0	0	0
ENSG00000187608	29	31	25	0	48	8	18	58	64	95	2	8	85	85	64	45	53	185	94
ENSG00000188157	97	10	32	34	25	31	4	21	38	23	3	10	39	76	147	10	190	143	27
ENSG00000273443	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000131591	7	6	90	6	63	133	26	68	43	36	5	0	26	48	60	29	97	70	56
ENSG00000223823	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000272141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205231	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	1	0	0
ENSG00000162571	0	37	0	17	0	1	2	1	0	7	0	0	5	34	5	21	100	1	24
ENSG00000186891	0	0	0	0	10	0	1	6	0	106	0	0	1	0	2	0	0	0	1
ENSG00000186827	2	0	0	0	14	0	1	1	1	1	0	0	1	0	0	0	1	5	1
ENSG00000078808	457	666	631	583	897	509	237	545	385	573	12	8	386	1045	1199	425	1149	1240	893
ENSG00000176022	359	236	392	907	2236	1100	326	531	399	742	165	24	802	1469	2088	604	2384	859	1190
ENSG00000184163	0	0	0	0	1	0	1	0	1	0	1	0	1	3	0	0	1	1	1
ENSG00000260179	0	0	0	0	1	0	0	13	1	0	0	1	0	0	1	1	7	3	0
ENSG00000160087	266	143	129	124	454	198	171	447	287	336	167	85	362	609	625	340	1061	874	536
ENSG00000230415	208	0	0	0	0	0	0	0	1	1	2	0	0	1	1	1	5	6	1
ENSG00000162572	157	4	0	0	16	3	0	12	1	0	0	0	14	1	1	0	13	7	4
ENSG00000131584	150	213	155	6	56	64	9	48	11	20	3	3	78	96	153	39	68	101	99
ENSG00000169972	103	43	126	141	78	157	30	80	65	38	3	3	99	213	318	92	318	239	193
ENSG00000127054	595	172	291	186	522	374	231	536	297	347	92	110	518	1103	1131	489	1137	723	954
ENSG00000224051	29	6	19	38	25	67	52	31	12	42	6	2	31	50	54	34	62	31	82
ENSG00000169962	0	0	1	0	0	2	2	2	1	6	0	0	1	4	2	10	2	1	13
ENSG00000107404	180	41	144	74	249	170	4	76	42	50	0	2	59	138	193	69	268	89	157
ENSG00000162576	0	0	0	4	15	0	0	27	101	1	0	0	2	8	1	2	1	2	0
ENSG00000175756	347	498	538	1333	652	615	435	628	538	265	144	69	469	1248	1606	524	1247	1160	890
ENSG00000221978	983	364	202	103	903	1276	817	1655	1064	1216	858	271	517	755	984	859	1114	1714	1093
ENSG00000224870	257	50	302	88	1137	319	150	693	433	312	93	10	279	687	535	204	580	693	358
ENSG00000242485	225	262	390	193	948	301	1015	1897	1527	1554	929	928	1027	1844	2407	790	2589	1371	1248
ENSG00000272455	12	2	58	0	87	46	42	81	43	31	47	24	54	57	118	12	110	51	68
ENSG00000235098	0	44	118	587	4	731	1	3	1	1	0	0	61	25	63	148	2	5	75
ENSG00000225905	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	0	0	3
ENSG00000205116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
ENSG00000225285	0	0	12	1	0	0	0	0	0	0	0	0	3	4	2	10	0	0	35
ENSG00000179403	27	65	12	12	13	27	0	0	0	0	0	0	46	14	27	36	0	0	60
ENSG00000215915	1	1	1	0	7	1	6	36	24	22	1	0	28	8	1	3	1	0	15
ENSG00000160072	446	45	298	153	197	214	42	81	35	36	7	4	76	132	121	52	154	33	61
ENSG00000197785	773	316	643	947	1116	454	11	15	17	23	3	1	136	235	350	64	497	82	99
ENSG00000205090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160075	910	1110	1141	2254	4270	1693	2699	4094	3335	1759	954	456	2036	4906	5104	3208	4992	4388	4370
ENSG00000215014	7	75	38	0	54	24	49	123	290	8	4	1	10	54	49	24	62	251	22
ENSG00000228594	399	371	254	334	4150	10	13	72	48	62	1	0	440	789	808	299	1420	278	483
ENSG00000272106	50	133	189	414	205	91	493	868	560	274	64	84	186	635	713	773	725	743	713
ENSG00000197530	118	9	53	5	39	65	24	138	103	599	4	2	29	27	47	16	60	31	83
ENSG00000189409	0	0	0	0	0	0	0	2	3	34	0	0	0	0	1	0	2	1	0
ENSG00000248333	538	248	398	178	1140	826	311	487	360	409	139	89	252	641	945	419	741	631	566
ENSG00000272004	2	0	0	0	0	0	1	1	3	1	0	0	3	2	0	1	0	0	3
ENSG00000189339	604	400	735	2234	2824	3232	1795	3322	2111	1707	1655	200	1281	3609	3619	2565	4279	2551	3411
ENSG00000269737	29	23	55	86	124	71	98	150	107	140	151	49	36	71	20	59	35	88	69
ENSG00000008128	876	584	511	865	1928	1016	876	1418	1003	1234	600	685	440	956	1591	889	1267	1469	855
ENSG00000215790	12	37	63	272	133	176	94	249	140	67	52	3	81	169	182	197	186	84	274
ENSG00000008130	221	69	163	223	698	1185	876	413	279	500	220	81	261	733	1555	481	1132	4733	787
ENSG00000078369	13667	13491	13299	27428	20491	31256	11322	15038	10676	12877	10483	1722	11903	25307	40136	15834	21465	29889	20568
ENSG00000231050	0	0	0	0	0	0	22	31	28	17	7	1	5	26	7	14	13	21	35
ENSG00000169885	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178821	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	7	0	0
ENSG00000142609	0	0	0	0	0	0	0	3	0	1	0	0	1	0	5	0	1	3	3
ENSG00000233542	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1
ENSG00000187730	0	5	0	0	62	5	0	0	0	0	0	0	6	0	2	0	0	1	1
ENSG00000226969	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	8
ENSG00000067606	7	51	51	0	24	2	177	287	215	149	0	0	118	263	64	328	163	59	413
ENSG00000271806	0	0	0	0	0	0	5	21	11	3	0	0	1	1	1	1	0	22	3
ENSG00000182873	591	189	264	275	593	371	388	277	110	148	13	0	85	291	228	248	176	182	372
ENSG00000162585	243	42	168	242	220	151	68	146	139	110	8	6	83	207	140	135	175	96	353
ENSG00000269554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203301	1	0	0	0	0	0	2	0	0	1	0	0	0	4	0	2	0	0	9
ENSG00000243558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234396	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0
ENSG00000157933	2942	1218	869	1988	2496	572	1462	4134	1963	1772	54	416	635	2656	1668	1952	3236	3888	2662
ENSG00000116151	47	49	52	42	53	125	88	68	80	39	59	19	70	128	153	245	146	25	269
ENSG00000269753	8	14	0	0	0	0	1	2	0	0	1	0	0	0	1	0	1	0	2
ENSG00000157916	1524	1488	1108	3302	3320	1825	1458	2945	2229	2342	1775	1125	1712	3475	5025	2287	4014	3957	3345
ENSG00000157911	9	6	118	16	152	31	72	74	41	28	32	1	89	218	172	106	191	73	202
ENSG00000149527	1	0	0	33	0	5	15	97	36	74	0	0	1	5	3	6	9	8	8
ENSG00000224387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
