UNK	GMP1	GMP2	GMP3	MKP	pDC	Bcell	CD4Tcell	CD8Tcell	NKcell	CLP	Ery	LMPP	CMP	GMP	HSC	MEP	Mono	MPP
ENSG00000229393	0	0	0	0	0	0	1	5	6	3	0	0	1	0	0	0	0	0	0
ENSG00000157881	157	13	45	124	284	294	135	410	229	242	94	54	204	255	296	135	340	408	294
ENSG00000197921	0	0	7	0	70	0	0	0	0	0	0	0	0	0	0	0	8	0	0
ENSG00000272449	0	15	0	0	43	16	5	6	2	26	0	0	0	4	1	0	7	11	1
ENSG00000157873	125	49	108	12	639	113	541	804	506	382	31	3	50	246	121	387	221	845	644
ENSG00000225931	0	2	0	0	30	1	6	13	4	1	0	0	0	0	0	1	0	13	0
ENSG00000228037	0	0	0	0	52	0	15	45	20	0	1	2	0	6	0	4	1	3	5
ENSG00000157870	121	48	186	135	1227	524	123	533	338	184	79	156	252	997	442	400	1930	296	711
ENSG00000142606	0	0	0	0	40	0	0	4	3	1	0	0	1	2	3	1	6	2	1
ENSG00000237058	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000215912	0	0	11	0	32	4	132	227	158	136	157	0	41	55	46	93	78	44	328
ENSG00000233234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177133	0	0	0	0	78	0	0	0	0	0	0	0	12	23	0	91	1	0	93
ENSG00000142611	42	30	0	0	58	0	0	0	0	14	0	0	128	436	28	1463	7	4	2622
ENSG00000226286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3
ENSG00000272235	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	30	0	0	23
ENSG00000130762	23	0	0	0	0	57	1	1	0	0	0	0	2	5	6	5	2	0	2
ENSG00000272088	0	0	0	0	0	0	28	33	10	1	25	0	9	7	15	42	6	1	7
ENSG00000162591	490	121	79	6	3	29	112	145	51	4	17	0	264	248	370	219	143	45	296
ENSG00000238260	0	0	0	0	0	0	1	4	0	1	0	0	0	1	0	0	0	0	0
ENSG00000158109	101	134	196	738	858	523	1515	4502	3173	2533	370	1777	814	1647	1936	2108	2758	2407	2395
ENSG00000116213	110	20	50	103	109	61	242	139	99	204	17	17	98	189	258	104	287	199	185
ENSG00000078900	63	22	0	16	13	10	54	30	13	3	0	3	21	8	3	47	14	14	38
ENSG00000227589	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	14	0
ENSG00000235131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227372	962	460	465	1013	1287	1004	649	1585	862	500	257	150	595	1381	1617	1237	1478	774	1411
ENSG00000162592	1	0	0	0	2	0	8	8	2	0	1	2	4	6	2	17	36	0	8
ENSG00000235169	6	0	0	0	111	0	4	1	3	1	0	25	3	46	0	32	168	3	25
ENSG00000130764	1469	1074	1298	2291	3725	2418	652	1393	1148	1320	1223	636	1104	2219	2522	1462	3848	1709	2089
ENSG00000272153	4	0	0	0	52	0	1	27	3	3	1	19	6	23	8	47	76	11	32
ENSG00000116198	432	586	405	631	3429	1894	3013	3301	2166	2910	1392	1111	1540	2795	3369	2457	4167	3345	3079
ENSG00000169598	95	24	84	87	512	65	349	673	411	438	150	22	294	807	741	408	1158	414	549
ENSG00000198912	317	83	202	939	822	391	434	966	762	1769	391	272	730	1790	2245	687	2810	1357	1210
ENSG00000236423	0	0	0	1	30	0	0	0	1	5	1	12	3	22	2	4	25	17	1
ENSG00000233304	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000226374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196581	2	0	0	0	0	163	0	43	12	1	0	0	26	0	6	0	0	0	0
ENSG00000231510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000260972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236948	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
ENSG00000131697	147	60	350	245	335	160	201	230	138	99	41	12	156	222	633	153	376	334	179
ENSG00000069424	6613	3947	4334	7653	1917	4300	822	1774	1159	2176	247	0	4307	5623	12094	3340	1851	5888	4813
ENSG00000268332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116254	35	199	7	101	1	11	6	0	3	2	1	0	54	9	50	5	65	6	5
ENSG00000116251	6875	8525	8620	14163	21372	14657	36636	84388	53730	17598	32659	7899	38629	82273	76918	67226	70217	24260	79025
ENSG00000226944	0	5	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0
ENSG00000158286	48	0	0	0	5	0	5	36	29	7	1	4	7	7	5	3	42	30	15
ENSG00000116237	1832	1822	2103	3568	6531	5574	1521	2073	1727	2655	1881	2478	3801	7307	13323	3470	9539	3992	3600
ENSG00000225077	2	0	5	1	4	1	0	7	5	0	0	0	0	1	14	1	1	3	1
ENSG00000173673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158292	0	0	207	238	0	32	1	1	20	160	0	0	5	63	44	2	6	18	0
ENSG00000097021	646	1696	1776	3957	3853	3970	71	426	306	479	82	82	1083	2811	4426	946	3537	227	1154
ENSG00000271746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000069812	0	0	1	0	0	0	0	2	0	2	0	0	0	1	5	0	4	1	2
ENSG00000187017	0	0	0	0	0	0	0	6	3	0	0	34	0	0	0	0	72	0	1
ENSG00000231868	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000215788	6	0	0	0	126	1	0	475	127	20	0	13	0	10	1	5	259	3	1
ENSG00000171680	1	0	0	0	0	0	0	100	23	3	0	1	12	8	6	15	1	0	2
ENSG00000162408	1342	1008	1132	1157	3007	1583	3149	6362	3823	2787	4043	1440	2934	5933	6602	3692	6408	2260	3936
ENSG00000173662	0	0	0	0	5	9	0	10	0	2	0	0	0	9	2	0	9	53	0
ENSG00000204859	943	243	531	1137	940	725	247	475	266	193	132	6	336	1071	858	413	659	1036	658
ENSG00000162413	493	201	289	1269	484	1950	262	1028	672	513	60	179	364	838	1001	467	1625	1505	880
ENSG00000116273	141	7	49	231	1015	596	204	301	193	259	375	705	164	450	296	276	578	230	249
ENSG00000041988	52	9	0	42	113	41	21	143	53	59	4	11	24	41	91	47	153	78	58
ENSG00000007923	1795	1274	711	1914	2296	807	532	947	702	654	492	466	1109	2129	2571	1357	3250	1315	1498
ENSG00000228750	27	2	0	0	0	0	1	2	1	0	0	0	1	0	1	1	0	1	0
ENSG00000237436	0	0	0	1	11	4	3	1	2	2	1	0	2	9	6	4	6	12	18
ENSG00000171735	820	552	732	1927	2576	804	1699	2456	1198	1368	1245	644	1564	2692	3264	1770	1867	1603	2201
ENSG00000237365	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237728	0	0	0	0	0	0	4	3	0	0	0	0	0	0	1	1	0	0	0
ENSG00000225126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270171	0	0	0	0	0	0	0	7	0	0	0	0	4	1	1	1	1	0	0
ENSG00000270035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000269978	0	0	0	0	0	0	2	4	0	0	1	0	1	0	1	13	0	0	0
ENSG00000049245	2335	1436	1686	4323	9796	3125	3038	5148	3700	5996	2648	2313	4343	10692	10911	8614	9100	27163	8356
ENSG00000049246	427	69	143	1352	2234	214	361	1568	1116	1748	242	45	920	1395	1462	1708	1059	1160	1622
ENSG00000236266	0	12	0	0	2	5	3	23	13	10	4	0	4	7	8	21	6	4	12
ENSG00000049247	10	22	0	0	94	0	173	383	495	1063	1	1	32	201	104	69	60	470	32
ENSG00000049249	0	0	1	0	2	0	0	45	213	69	0	0	0	5	1	1	0	111	1
ENSG00000116288	2636	3967	4027	8011	10657	10151	2979	5877	4703	5691	4907	1917	6601	11216	14446	5763	10857	7610	7129
ENSG00000116285	4	4	7	0	50	1	80	407	719	543	38	1	63	42	60	71	10	89	163
ENSG00000238290	4	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	1
ENSG00000227634	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000233645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162426	0	0	0	0	0	0	0	5	3	5	0	0	1	1	0	4	0	2	27
ENSG00000142599	4237	3877	4028	6915	5279	8848	8038	9034	3939	2808	4566	759	5921	7264	10775	10833	7288	8552	11765
ENSG00000232912	123	17	1	0	16	68	203	130	88	52	150	36	69	57	82	230	79	42	167
ENSG00000228423	0	1	0	0	14	0	17	5	4	4	6	9	10	1	1	1	4	1	4
ENSG00000074800	6605	5380	5257	9517	8899	2984	4751	8590	6493	5023	3419	61	20963	38971	49368	23694	27970	22901	36386
ENSG00000230679	0	0	0	0	10	6	14	31	15	3	4	0	17	39	9	22	10	4	19
ENSG00000131686	74	0	0	0	0	1	0	330	575	0	4	0	2	5	20	0	0	1	0
ENSG00000197241	0	0	0	0	0	0	0	0	5	0	1	0	0	1	4	1	0	0	0
ENSG00000142583	2636	1140	1192	1007	29	98	641	5	0	1	1363	0	2877	1575	5443	1560	360	92	1539
ENSG00000180758	102	30	2	8	60	65	50	227	106	38	34	0	28	105	158	121	106	101	137
ENSG00000228526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234546	0	0	0	0	0	0	1	0	0	0	4	0	3	5	1	1	0	0	0
ENSG00000049239	1732	1188	1343	1509	873	2103	1577	2310	1388	2341	562	2	1920	4579	5606	3293	5296	5627	3650
ENSG00000171621	118	1	2	1	487	39	32	159	61	38	123	0	89	19	13	17	14	55	20
ENSG00000235263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000171612	329	83	172	317	486	136	428	448	285	343	260	77	403	1524	1139	843	1348	461	954
ENSG00000188807	1247	757	863	1017	1410	509	97	171	109	105	111	43	972	1739	1655	841	1991	234	1545
ENSG00000171608	990	1290	962	2391	1075	4493	3397	5632	3467	3300	2144	0	2288	2886	8201	1888	1518	6200	2728
ENSG00000179840	7	25	34	210	68	157	60	196	126	119	148	0	60	44	407	19	16	234	52
ENSG00000231789	2	64	0	0	40	0	75	42	39	26	66	0	12	127	29	32	168	10	27
ENSG00000171603	2504	3035	3009	6787	3111	5229	4482	9403	5209	5594	3003	15	4575	8325	10205	6679	4736	5591	8806
ENSG00000178585	121	255	221	377	670	430	150	299	203	673	355	11	752	1134	1681	600	977	1039	1176
ENSG00000223989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162441	465	872	1054	1961	4207	2412	1849	4134	3089	2844	2879	1549	2734	4909	5619	4064	4781	4054	4164
ENSG00000173614	22	65	14	61	394	119	248	378	243	409	477	9	328	436	559	423	428	849	338
ENSG00000162444	1	0	0	0	158	0	0	10	12	7	4	1	0	8	1	1	18	8363	20
ENSG00000130939	2972	3488	3422	4970	8561	7812	4781	7963	5811	6099	4977	5997	7889	16272	17689	11829	16413	11199	14521
ENSG00000054523	1191	819	905	1634	1746	1203	2093	3904	2112	3237	2196	177	3519	4527	5856	4913	4169	12814	4735
ENSG00000142657	4441	3405	4256	8496	11214	4661	1147	2803	2239	1443	1438	213	8868	23309	19874	12567	24278	57415	16162
ENSG00000271989	0	0	0	0	0	1	7	4	0	7	3	8	4	10	4	0	1	0	0
ENSG00000175279	41	12	25	87	81	83	127	79	61	12	106	149	171	278	411	120	219	18	143
ENSG00000251503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241563	14	13	0	0	0	0	6	3	0	0	2	3	1	3	10	10	3	0	0
ENSG00000160049	1384	1011	770	2347	3388	1696	1365	2179	1810	2019	1189	200	1875	3000	4281	2621	3820	1832	3344
ENSG00000203469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142655	192	43	74	647	310	165	557	321	288	322	49	31	297	565	641	352	746	588	607
ENSG00000130940	89	20	25	57	85	161	412	158	158	370	54	20	81	200	131	168	92	135	191
ENSG00000272078	85	7	0	0	49	8	43	6	28	53	17	8	1	5	60	7	5	22	22
ENSG00000175262	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	4	0
ENSG00000120948	6673	5283	6362	10635	27064	7713	14345	14810	12075	15409	22227	9781	16885	27744	36713	17096	33985	15705	19637
ENSG00000009724	322	233	202	621	845	977	1716	2019	1607	945	1094	546	575	1262	1582	1277	1094	966	1293
ENSG00000271895	246	63	58	91	279	135	437	738	446	378	255	161	291	615	379	444	315	378	327
ENSG00000116649	17052	15170	16872	27111	9946	2799	2660	2390	2040	1077	426	17	5513	13115	19175	4325	17349	3993	7935
ENSG00000171824	3352	2283	2456	5820	9540	3741	3024	4638	3340	3821	3914	2599	4333	8269	12131	4622	12100	5218	6198
ENSG00000226849	6	0	0	0	0	37	28	60	39	34	5	11	6	4	16	15	11	9	3
ENSG00000230337	1	0	0	0	0	0	0	1	0	0	0	0	0	1	9	0	7	3	0
ENSG00000198793	3132	2543	3057	4573	7529	3599	5385	7320	4745	5968	4137	2664	5104	10659	14106	5043	11408	7676	7186
ENSG00000225602	1	0	33	0	42	8	89	85	63	75	38	54	24	50	54	14	26	27	51
ENSG00000171819	5	16	7	14	33	0	139	183	91	171	98	67	113	191	151	65	94	162	95
ENSG00000120942	932	838	1170	2424	1321	1628	1569	2405	1621	1312	522	335	1887	3293	4488	2013	3725	1353	2894
ENSG00000204624	0	0	2	0	0	0	175	7	1	3	1	0	2	3	4	1	1	0	4
ENSG00000235643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116661	0	0	0	0	0	0	22	82	58	62	0	0	0	0	0	0	0	0	0
ENSG00000132879	16	2	34	79	42	81	77	371	168	149	25	0	41	67	68	128	42	61	139
ENSG00000116663	7	12	13	7	40	28	17	128	86	339	21	2	74	121	191	105	120	547	156
ENSG00000116670	561	296	326	1112	676	809	222	581	450	667	989	142	712	1415	2251	424	1542	926	933
ENSG00000162490	88	52	4	0	41	1	2	1	15	590	130	0	2	8	43	12	5	13	6
ENSG00000177674	393	258	452	386	132	14	206	319	253	461	5	2	401	577	974	281	522	3978	411
ENSG00000215910	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	4	3	0
ENSG00000177553	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000177000	478	95	142	134	812	669	1387	1399	822	1571	600	325	440	1004	1013	826	2696	2227	1173
ENSG00000011021	681	249	651	1093	1811	876	3041	758	533	795	604	194	906	1636	1601	1188	2035	2486	2323
ENSG00000242349	36	19	0	0	0	3	97	22	52	25	23	35	59	23	25	26	7	26	29
ENSG00000175206	0	0	0	0	1	0	16	13	12	14	2	0	2	9	12	25	2	24	15
ENSG00000120937	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2
ENSG00000116685	352	576	730	897	826	3064	939	603	399	1052	324	132	842	1810	2883	686	2402	2639	1128
ENSG00000083444	161	716	635	759	675	350	77	112	167	1601	23	48	609	1457	1930	1143	2658	5755	1289
ENSG00000116688	2813	2993	4414	3233	9903	4027	2782	3918	2754	4649	2469	7141	2669	5378	6667	3036	9095	8101	4440
ENSG00000116691	127	45	68	45	92	112	48	77	47	61	8	6	82	203	261	93	287	420	156
ENSG00000120949	0	0	0	0	5	12	1	2	0	2	1	0	25	20	19	10	7	425	13
ENSG00000028137	861	856	1603	5261	1339	2973	1746	3775	1844	6479	113	132	882	179	4744	586	308	51535	744
ENSG00000048707	1530	1798	1951	4416	5151	6098	17568	20107	14030	12613	5845	2727	6895	11346	14575	11532	13023	16274	11108
